Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Ellard, Fraser",686642,2024,85,25.7,11.9,0.238,0.37,0.306,0.372,35.5,6.5,0.0,30.6,27.4,33.9,1.6,40.3,94.274328387,61.6,19.2,24.4,40.7,CWS,3.7,0.043529411764705886,-0.20791177402706326,0.6930351489491048,0.513042098450954,1.1131610380932653
"Brewer, Colten",605155,2024,82,23.2,9.5,0.254,0.391,0.322,0.375,31.7,7.9,4.8,27.0,25.4,31.7,3.2,30.2,92.861118852,65.0,16.7,22.9,55.8,CHC,2.4,0.029268292682926828,-0.7321340838535119,0.43848174792171046,-0.5809442757547196,0.9122173667532558
"Gallegos, Giovanny",606149,2024,84,22.3,10.6,0.251,0.418,0.331,0.384,30.2,9.5,7.9,23.8,15.9,34.9,7.9,41.3,93.934264444,69.7,13.2,26.9,56.9,STL,4.8,0.05714285714285714,0.7607767969810957,0.6015845125043413,0.7874548135190683,1.1203282858807846
"Baker, Bryan",641329,2024,85,24.7,7.5,0.229,0.367,0.294,0.36,28.6,9.5,11.1,23.8,25.4,22.2,4.8,47.6,95.776148525,70.5,19.9,24.9,36.4,BAL,1.8,0.021176470588235293,0.605005282151548,-0.8051625642705641,1.346536124326801,-0.1764424522735964
"Petersen, Michael",656848,2024,76,15.6,12.2,0.25,0.424,0.348,0.365,34.4,6.3,6.3,25.0,42.2,15.6,4.7,37.5,93.531756719,73.9,15.0,30.1,30.9,MIA,3.0,0.039473684210526314,0.9609124624957314,-1.7968681719684878,-2.774104605437122,-0.6407719118949387
"Ray, Robbie",592662,2024,106,33.3,11.6,0.18,0.343,0.299,0.369,34.4,9.4,10.9,17.2,34.4,23.4,4.7,35.9,93.415278906,72.9,22.6,29.4,63.0,SF,5.4,0.0509433962264151,-1.941134231342144,-4.105212150631677,1.0375124666320101,1.0095375353951512
"Maldonado, Anthony",687424,2024,75,13.4,8.5,0.259,0.374,0.295,0.321,34.4,3.1,3.1,28.1,34.4,18.8,12.5,26.6,92.292927833,73.1,21.4,31.9,42.3,MIA,1.8,0.024,-2.3658170551335242,-0.46971610856173207,-3.6715186353368328,-2.2052503390862914
"Nance, Tommy",667297,2024,81,20.4,9.7,0.248,0.407,0.324,0.376,39.1,12.5,4.7,23.4,12.5,40.6,4.7,35.9,93.384388871,61.0,9.6,27.4,60.9,TOR,2.0,0.024691358024691357,0.25849493196997075,1.8777818353522444,0.7650315275240144,1.4504744613176457
"McGreevy, Michael",700241,2024,83,20.9,2.3,0.263,0.384,0.294,0.357,30.8,4.6,4.6,26.2,10.8,44.6,9.2,33.8,93.186303281,63.5,15.8,28.3,39.5,STL,0.2,0.0024096385542168677,-1.7740482496700027,3.8451261982115237,-0.4898705097311266,-1.4735927251607208
"Bazardo, Eduard",660825,2024,98,30.6,8.3,0.186,0.279,0.243,0.305,21.2,4.5,1.5,28.8,24.2,39.4,1.5,33.3,92.956859077,61.7,19.7,30.0,47.1,SEA,1.7,0.017346938775510204,-4.898464593661332,1.5496498689099811,0.6099147762832366,0.32287036404734654
"Festa, Matt",670036,2024,90,24.0,8.0,0.258,0.378,0.307,0.371,29.9,6.0,3.0,29.9,38.8,13.4,9.0,34.3,93.189386515,75.7,23.9,31.4,32.7,TEX,2.3,0.025555555555555554,-1.1616573552448215,-1.9240172042050316,-2.2121750880202145,-2.3437008807075146
"Santillan, Tony",663574,2024,113,37.7,7.4,0.185,0.298,0.243,0.349,29.9,6.0,4.5,20.9,37.3,26.9,4.5,40.3,94.230051538,70.5,23.6,26.6,50.0,CIN,2.0,0.017699115044247787,-3.522465106141264,-2.2440928777386224,1.1805695648498786,0.02287950580090181
"Cimber, Adam",643256,2024,85,17.8,13.1,0.256,0.39,0.357,0.367,42.6,8.8,4.4,26.5,20.6,36.8,2.9,35.3,93.678002836,65.2,11.5,21.9,29.8,LAA,1.3,0.015294117647058824,1.2897911439728118,1.8536040956918058,-1.258825731745311,1.0747463983637433
"Staumont, Josh",622251,2024,85,17.6,13.7,0.248,0.324,0.322,0.325,29.0,2.9,4.3,27.5,29.0,27.5,8.7,34.8,93.140265294,64.0,12.5,25.9,56.1,,0.0,0.0,-2.180826693094125,1.762988267958132,-1.1077357398166627,0.8857689294613672
"Olson, Reese",681857,2024,421,21.7,7.1,0.247,0.359,0.296,0.342,31.2,5.5,3.4,25.7,22.6,38.8,3.7,43.7,94.564723498,67.2,14.9,32.2,50.3,DET,9.5,0.022565320665083134,-0.9679539629660762,1.6532743633012823,1.1833788086091979,-0.6621410332612249
"Toussaint, Touki",657053,2024,97,22.2,15.4,0.271,0.406,0.36,0.402,40.3,5.6,6.9,34.7,13.9,37.5,1.4,38.9,93.321083611,60.6,17.5,28.7,41.7,CWS,1.3,0.013402061855670104,1.0450125661778102,2.2058443760959894,1.3988106056139238,0.054256327747272876
"Otañez, Michel",671305,2024,126,36.4,13.2,0.15,0.22,0.246,0.291,35.6,4.1,12.3,21.9,28.8,28.8,4.1,32.9,92.549203014,66.3,27.9,30.2,62.2,OAK,2.6,0.020634920634920634,-5.5269495855117174,-2.6521752456153727,1.8270531819173428,0.4536536570019671
"Hicks, Jordan",663855,2024,423,20.0,9.8,0.258,0.423,0.339,0.378,34.7,9.4,8.2,21.6,17.9,38.6,3.6,42.2,94.634853364,65.4,14.6,25.1,48.2,SF,12.2,0.02884160756501182,1.2758464099084847,1.2432005733366365,1.0165738014828603,1.209926858075586
